epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2377.81,0.09368,0.24334,1.14805,0.92865,0.96224,0.97244,0.96462,0.32491,0.98677,0.70131,0.000295205,0.000295205,0.000295205
43,2433.64,0.09539,0.26079,1.14334,0.9478,0.94916,0.98069,0.96861,0.2713,0.95046,0.65283,0.00029021,0.00029021,0.00029021
44,2488.24,0.10454,0.27395,1.13903,0.96267,0.95682,0.97826,0.97297,0.29881,0.89356,0.71366,0.000285215,0.000285215,0.000285215
45,2543.82,0.09886,0.27392,1.15054,0.9406,0.96701,0.97836,0.97496,0.28843,0.99118,0.69325,0.00028022,0.00028022,0.00028022
46,2600.64,0.09064,0.24256,1.13872,0.95938,0.92952,0.97745,0.95745,0.30888,1.02516,0.71884,0.000275225,0.000275225,0.000275225
47,2657.78,0.08719,0.23011,1.13998,0.93705,0.95256,0.96558,0.95105,0.29596,1.02523,0.69129,0.00027023,0.00027023,0.00027023
48,2715.05,0.0863,0.22549,1.14603,0.9633,0.9665,0.98662,0.98065,0.30198,0.86205,0.71628,0.000265235,0.000265235,0.000265235
49,2772.47,0.0858,0.22575,1.13922,0.96923,0.98189,0.98955,0.9743,0.28874,0.8602,0.70176,0.00026024,0.00026024,0.00026024
50,2829.37,0.08904,0.22311,1.15101,0.97717,0.96641,0.98813,0.98542,0.29992,0.91536,0.71228,0.000255245,0.000255245,0.000255245
51,2885.33,0.0926,0.23182,1.15181,0.96759,0.96074,0.97833,0.96819,0.27675,0.96047,0.67651,0.00025025,0.00025025,0.00025025
52,2943.36,0.0847,0.22846,1.14876,0.95033,0.96034,0.97261,0.97115,0.30407,0.91246,0.71326,0.000245255,0.000245255,0.000245255
53,2999.98,0.08481,0.22048,1.15039,0.95948,0.95712,0.97798,0.97454,0.29675,0.88016,0.69804,0.00024026,0.00024026,0.00024026
54,3058.91,0.08165,0.22365,1.1455,0.96674,0.94818,0.98008,0.96049,0.317,0.87873,0.72226,0.000235265,0.000235265,0.000235265
55,3117.42,0.08169,0.21532,1.14559,0.94923,0.96168,0.9799,0.97839,0.31208,0.85636,0.73147,0.00023027,0.00023027,0.00023027
56,3176.78,0.08336,0.22636,1.14808,0.95583,0.95247,0.97893,0.97119,0.30643,0.82435,0.74033,0.000225275,0.000225275,0.000225275
57,3234.36,0.08607,0.23531,1.14941,0.96444,0.9486,0.97435,0.97408,0.26333,0.80408,0.65179,0.00022028,0.00022028,0.00022028
58,3290.7,0.07979,0.21431,1.13489,0.97486,0.9687,0.98826,0.98697,0.24421,0.74076,0.66564,0.000215285,0.000215285,0.000215285
59,3349.96,0.07633,0.19707,1.13821,0.97036,0.97664,0.98352,0.98275,0.2619,0.75857,0.69626,0.00021029,0.00021029,0.00021029
60,3410.91,0.07895,0.21092,1.14197,0.93918,0.97133,0.97904,0.97261,0.3257,0.86206,0.72906,0.000205295,0.000205295,0.000205295
61,3471.8,0.07885,0.20416,1.14533,0.94462,0.96759,0.98127,0.97718,0.27045,0.77057,0.65865,0.0002003,0.0002003,0.0002003
62,3534.24,0.07864,0.18404,1.14178,0.96794,0.97807,0.98194,0.98094,0.28479,0.76968,0.69546,0.000195305,0.000195305,0.000195305
63,3594.7,0.07685,0.18879,1.14426,0.97179,0.96779,0.98294,0.97843,0.28816,0.75857,0.69528,0.00019031,0.00019031,0.00019031
64,3656.35,0.07565,0.16852,1.1404,0.98116,0.97669,0.98835,0.98179,0.27045,0.78369,0.69546,0.000185315,0.000185315,0.000185315
65,3716.47,0.07519,0.16922,1.14764,0.97804,0.97192,0.98887,0.98207,0.30631,0.76537,0.71507,0.00018032,0.00018032,0.00018032
66,3777.23,0.0715,0.17657,1.14775,0.95473,0.98224,0.9873,0.98268,0.29012,0.85366,0.69638,0.000175325,0.000175325,0.000175325
67,3836.74,0.07419,0.16761,1.14559,0.9715,0.9741,0.98544,0.98478,0.28062,0.80179,0.69531,0.00017033,0.00017033,0.00017033
68,3898.44,0.06963,0.16081,1.14717,0.97772,0.97429,0.98513,0.98055,0.31555,0.85224,0.73303,0.000165335,0.000165335,0.000165335
69,3956.58,0.06811,0.16816,1.13919,0.9626,0.98228,0.98385,0.97903,0.30169,0.84323,0.69923,0.00016034,0.00016034,0.00016034
70,4014.28,0.0709,0.16089,1.1439,0.95235,0.98071,0.99109,0.99001,0.27533,0.90793,0.69091,0.000155345,0.000155345,0.000155345
71,4074.65,0.07194,0.16999,1.14858,0.96824,0.96537,0.98903,0.98745,0.32134,0.87621,0.72956,0.00015035,0.00015035,0.00015035
72,4133.37,0.07063,0.16839,1.14667,0.92697,0.98082,0.98006,0.97565,0.23896,0.86303,0.65774,0.000145355,0.000145355,0.000145355
73,4191.8,0.07038,0.16882,1.14602,0.96959,0.96651,0.98308,0.97822,0.26163,0.79891,0.72155,0.00014036,0.00014036,0.00014036
74,4248.37,0.06918,0.15846,1.14737,0.96851,0.97805,0.97871,0.97263,0.27365,0.78653,0.6998,0.000135365,0.000135365,0.000135365
75,4304.64,0.06764,0.16467,1.12283,0.97424,0.95297,0.98172,0.98017,0.27748,0.79737,0.72208,0.00013037,0.00013037,0.00013037
76,4363.54,0.06529,0.15063,1.13917,0.9689,0.96099,0.98225,0.98115,0.28502,0.7967,0.74744,0.000125375,0.000125375,0.000125375
77,4425.7,0.06401,0.14738,1.13498,0.95799,0.97138,0.98161,0.97984,0.30034,0.82772,0.76012,0.00012038,0.00012038,0.00012038
78,4486.11,0.06342,0.14883,1.1322,0.96185,0.94986,0.98362,0.98075,0.30177,0.82888,0.77166,0.000115385,0.000115385,0.000115385
79,4544.79,0.0601,0.14661,1.1407,0.94903,0.98403,0.98727,0.98511,0.2898,0.75599,0.73709,0.00011039,0.00011039,0.00011039
80,4606.7,0.06318,0.15727,1.14402,0.98416,0.97295,0.9877,0.98723,0.2686,0.75292,0.74645,0.000105395,0.000105395,0.000105395
81,4668.02,0.0591,0.14429,1.13579,0.97034,0.9656,0.98327,0.98255,0.28789,0.86203,0.77854,0.0001004,0.0001004,0.0001004
82,4727.94,0.06002,0.14701,1.13856,0.97637,0.96031,0.98893,0.98779,0.26981,0.79134,0.74243,9.5405e-05,9.5405e-05,9.5405e-05
83,4788.14,0.05866,0.14406,1.13132,0.96905,0.97583,0.98597,0.98453,0.27512,0.83284,0.73465,9.041e-05,9.041e-05,9.041e-05
84,4849.6,0.05844,0.13501,1.13064,0.96235,0.95554,0.98275,0.9822,0.26584,0.90929,0.70132,8.5415e-05,8.5415e-05,8.5415e-05
85,4909.84,0.05838,0.13535,1.13605,0.97495,0.96599,0.97766,0.97611,0.25985,0.87674,0.6901,8.042e-05,8.042e-05,8.042e-05
86,4969.41,0.05986,0.13923,1.13794,0.97687,0.97392,0.98353,0.98174,0.27821,0.8086,0.74687,7.5425e-05,7.5425e-05,7.5425e-05
87,5026.71,0.05569,0.12932,1.13758,0.96896,0.96791,0.98381,0.98258,0.26718,0.82928,0.74491,7.043e-05,7.043e-05,7.043e-05
88,5083.54,0.05411,0.12694,1.13789,0.97147,0.97811,0.9831,0.98267,0.26468,0.76679,0.73498,6.5435e-05,6.5435e-05,6.5435e-05
89,5141.92,0.05162,0.12684,1.14195,0.97472,0.97812,0.98342,0.98252,0.26056,0.73398,0.73307,6.044e-05,6.044e-05,6.044e-05
90,5202.64,0.05153,0.12242,1.13235,0.97518,0.97568,0.98808,0.98665,0.26146,0.75928,0.71673,5.5445e-05,5.5445e-05,5.5445e-05
91,5261.7,0.05184,0.1198,1.14111,0.97634,0.9757,0.98891,0.9877,0.24593,0.76612,0.70644,5.045e-05,5.045e-05,5.045e-05
92,5323.94,0.05173,0.11946,1.1329,0.97292,0.97562,0.98943,0.98838,0.24853,0.78608,0.70182,4.5455e-05,4.5455e-05,4.5455e-05
93,5387.31,0.05002,0.11939,1.13935,0.97721,0.96037,0.9877,0.98465,0.24785,0.80836,0.69562,4.046e-05,4.046e-05,4.046e-05
94,5447.58,0.05079,0.11901,1.12785,0.97534,0.97525,0.98678,0.98528,0.25942,0.80103,0.70686,3.5465e-05,3.5465e-05,3.5465e-05
95,5506.77,0.04773,0.11556,1.13762,0.97604,0.97407,0.98602,0.98533,0.25308,0.78198,0.69882,3.047e-05,3.047e-05,3.047e-05
96,5563.61,0.04971,0.11382,1.13958,0.97735,0.96943,0.98586,0.98375,0.25698,0.7813,0.70852,2.5475e-05,2.5475e-05,2.5475e-05
97,5620.02,0.04885,0.1179,1.13776,0.97175,0.97401,0.98593,0.98382,0.25789,0.77583,0.70799,2.048e-05,2.048e-05,2.048e-05
98,5676.51,0.04685,0.1123,1.14523,0.97107,0.9766,0.98679,0.98534,0.25863,0.76661,0.71556,1.5485e-05,1.5485e-05,1.5485e-05
99,5732.34,0.04593,0.10966,1.12463,0.96795,0.98083,0.98895,0.98799,0.25672,0.75505,0.71224,1.049e-05,1.049e-05,1.049e-05
100,5787.93,0.04528,0.10784,1.12773,0.97584,0.9728,0.98861,0.98766,0.25269,0.75883,0.70965,5.495e-06,5.495e-06,5.495e-06
